Time,F_Scale,Location,County,State,Lat,Lon,Comments
2338,UNK,Cherry Creek,Chautauqua,NY,42.3,-79.1,Reports of several trees... power lines and power poles downed across Cherry Creek. (BUF)
2341,UNK,Leon,Cattaraugus,NY,42.29,-79.02,Trees and wires downed in Leon. (BUF)
2344,UNK,Brookfield,Linn,MO,39.79,-93.08,Large limbs down... estimated 60 mph wind gusts. Time estimated from radar. (EAX)
2347,UNK,Cattaraugus,Cattaraugus,NY,42.33,-78.87,Several reports of trees and wires downed in Cattaraugus. (BUF)
2348,UNK,Lindley,Steuben,NY,42.03,-77.13,Tree on house through roof along Lindley Road as per county dispatch feed. Radar-estimated time. (BGM)
2348,UNK,Lindley,Steuben,NY,42.03,-77.14,Tree down on house on Caroline Drive. Radar-estimated time. (BGM)
2350,UNK,New Albion,Cattaraugus,NY,42.29,-78.89,Several reports of trees and wires downed in New Albion. (BUF)
2355,60,3 WNW Fremont,Mahaska,IA,41.23,-92.49,Delayed report. (DMX)
0004,UNK,Terral,Jefferson,OK,33.89,-97.94,Picture of large tree branches down on side of bridge. (OUN)
0007,UNK,Delevan,Cattaraugus,NY,42.49,-78.48,Several reports of trees and wires downed in Delevan. (BUF)
0009,UNK,1 SW Lime Lake-Machias,Cattaraugus,NY,42.42,-78.49,Several reports of trees and wires downed in Machias. (BUF)
0012,UNK,1 WSW Mosherville,Bradford,PA,41.98,-76.91,Wires down on Coryland Road near church. Radar-estimated time. (BGM)
0033,UNK,1 NE Ainsworth,Washington,IA,41.3,-91.54,Semi tipped over on US Highway 218. (DVN)
0035,UNK,2 NW Decaturville,Camden,MO,37.93,-92.73,Large tree down and other large limbs down. (SGF)
0038,UNK,3 SE Camdenton,Camden,MO,37.98,-92.7,Roof damage at the building near the airport. No additional info at this time. (SGF)
0040,UNK,Milan,Bradford,PA,41.92,-76.5,Tree down on wire... which caught fire. Bradley Road. Also at least pea-sized hail in the Athens-Milan area. Radar-estimated time. (BGM)
0051,UNK,11 ENE Alvord,Wise,TX,33.4,-97.51,Tree down on FM730 along with hail up to nickel size. (FWD)
0056,UNK,3 NNW Truman,Cameron,PA,41.49,-78.39,Trees down on wires along Beechwood Road. (CTP)
